"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"INFY","1,345.15","1,357.85","12.70","0.94","1,357.85","86,491","117,441,804.35","4,800,695,390,071.67","1,672.60","1,185.30"
"RELIANCE","2,588.75","2,609.00","20.25","0.78","2,609.00","108,746","283,718,314.00","8,757,238,780,096.88","2,755.00","2,180.00"
"DIVISLAB","3,550.10","3,576.40","26.30","0.74","3,576.40","847","3,029,210.80","452,371,202,811.84","3,973.90","2,730.00"
"HEROMOTOCO","3,029.80","3,050.00","20.20","0.67","3,050.00","5,275","16,088,750.00","393,562,158,137.98","3,039.90","2,246.00"
"SUNPHARMA","1,048.80","1,055.00","6.20","0.59","1,055.00","4,423","4,666,265.00","1,132,390,132,441.20","1,072.15","821.90"
"MARUTI","9,647.40","9,697.00","49.60","0.51","9,697.00","1,354","13,129,738.00","1,282,286,355,171.36","9,853.50","8,076.05"
"CIPLA","1,011.85","1,017.00","5.15","0.51","1,017.00","3,197","3,251,349.00","530,913,529,618.29","1,185.25","852.00"
"ONGC","161.20","162.00","0.80","0.50","162.00","5,800","939,600.00","628,661,712,482.23","169.00","119.85"
"BAJAJ-AUTO","4,625.40","4,647.95","22.55","0.49","4,647.95","591","2,746,938.45","523,516,385,477.28","4,829.90","3,461.25"
"TATACONSUM","855.55","859.00","3.45","0.40","859.00","1,482","1,273,038.00","508,682,186,980.80","877.20","686.60"
"TCS","3,308.85","3,320.00","11.15","0.34","3,320.00","9,380","31,141,600.00","3,390,030,597,954.29","3,575.00","2,926.10"
"BHARTIARTL","865.15","868.00","2.85","0.33","868.00","4,078","3,539,704.00","2,172,640,177,833.84","888.75","628.75"
"UPL","676.95","679.00","2.05","0.30","679.00","1,256","852,824.00","340,442,974,525.22","807.00","636.05"
"APOLLOHOSP","5,109.95","5,125.00","15.05","0.29","5,125.00","259","1,327,375.00","514,312,685,626.01","5,294.00","3,700.05"
"INDUSINDBK","1,367.35","1,371.35","4.00","0.29","1,371.35","15,958","21,884,003.30","891,319,729,790.32","1,394.00","789.50"
"BRITANNIA","5,010.15","5,024.80","14.65","0.29","5,024.80","372","1,869,225.60","591,325,283,670.16","5,085.25","3,564.10"
"HCLTECH","1,190.60","1,194.00","3.40","0.29","1,194.00","1,418","1,693,092.00","1,260,046,968,686.06","1,195.00","877.35"
"EICHERMOT","3,401.80","3,410.80","9.00","0.26","3,410.80","4,044","13,793,275.20","465,465,674,614.00","3,889.65","2,745.75"
"BAJFINANCE","7,860.45","7,879.95","19.50","0.25","7,879.95","7,222","56,908,998.90","2,095,628,643,689.72","7,920.00","5,485.70"
"TECHM","1,148.00","1,150.80","2.80","0.24","1,150.80","10,622","12,223,797.60","715,928,929,121.28","1,165.00","965.05"
"ULTRACEMCO","8,411.70","8,429.95","18.25","0.22","8,429.95","218","1,837,729.10","971,337,171,294.60","8,499.00","5,632.10"
"ADANIENT","2,387.70","2,391.00","3.30","0.14","2,391.00","3,717","8,887,347.00","734,934,782,685.16","4,190.00","1,017.45"
"TATASTEEL","112.40","112.55","0.15","0.13","112.55","43,838","4,933,966.90","906,642,176,623.92","124.30","83.81"
"ASIANPAINT","3,347.70","3,351.35","3.65","0.11","3,351.35","1,047","3,508,863.45","1,509,220,027,544.01","3,582.90","2,685.85"
"SBIN","589.25","589.80","0.55","0.09","589.80","22,928","13,522,934.40","2,261,295,860,307.09","629.55","466.85"
"TATAMOTORS","591.45","592.00","0.55","0.09","592.00","19,928","11,797,376.00","1,041,182,670,503.67","602.30","375.20"
"BAJAJFINSV","1,629.50","1,631.00","1.50","0.09","1,631.00","6,316","10,301,396.00","882,467,549,303.80","1,844.00","1,121.52"
"KOTAKBANK","1,861.70","1,862.80","1.10","0.06","1,862.80","4,308","8,024,942.40","2,736,876,222,632.57","2,064.40","1,643.50"
"POWERGRID","249.60","249.70","0.10","0.04","249.70","6,001","1,498,449.70","853,125,787,078.66","259.70","186.35"
"GRASIM","1,769.55","1,770.00","0.45","0.03","1,770.00","443","784,110.00","652,471,998,395.45","1,839.50","1,331.60"
"SBILIFE","1,289.25","1,289.55","0.30","0.02","1,289.55","239","308,202.45","580,685,624,403.98","1,340.35","1,054.00"
"TITAN","3,074.65","3,075.00","0.35","0.01","3,075.00","2,919","8,975,925.00","1,282,926,906,916.68","3,090.00","1,928.00"
"JSWSTEEL","796.65","796.70","0.05","0.01","796.70","1,210","964,007.00","731,757,892,139.88","808.30","541.00"
"HDFCLIFE","647.00","647.00","-","-","647.00","2,887","1,867,889.00","695,409,908,405.00","674.00","457.80"
"BPCL","376.65","376.65","-","-","376.65","1,932","727,687.80","359,501,580,252.14","380.45","288.05"
"ITC","466.35","466.35","-","-","466.35","40,203","18,748,669.05","4,115,022,312,527.01","468.00","284.80"
"COALINDIA","231.80","231.80","-","-","231.80","7,588","1,758,898.40","528,552,557,693.48","263.40","178.00"
"HINDUNILVR","2,700.00","2,699.95","-0.05","-0.00","2,699.95","1,347","3,636,832.65","2,410,680,634,812.00","2,741.60","2,276.00"
"NTPC","194.05","194.00","-0.05","-0.03","194.00","19,548","3,792,312.00","922,002,651,018.32","194.80","136.10"
