Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,18579.400391,18580.300781,18464.550781,18487.750000,18487.750000,265600
2023-06-02,18550.849609,18573.699219,18478.400391,18534.099609,18534.099609,270900
2023-06-05,18612.000000,18640.150391,18582.800781,18593.849609,18593.849609,256100
2023-06-06,18600.800781,18622.750000,18531.599609,18599.000000,18599.000000,220800
2023-06-07,18665.599609,18738.949219,18636.000000,18726.400391,18726.400391,260100
2023-06-08,18725.349609,18777.900391,18615.599609,18634.550781,18634.550781,286500
2023-06-09,18655.900391,18676.650391,18555.400391,18563.400391,18563.400391,221800
2023-06-12,18595.050781,18633.599609,18559.750000,18601.500000,18601.500000,179500
2023-06-13,18631.800781,18728.900391,18631.800781,18716.150391,18716.150391,233200
2023-06-14,18744.599609,18769.699219,18690.000000,18755.900391,18755.900391,261400
2023-06-15,18774.449219,18794.099609,18669.050781,18688.099609,18688.099609,263000
2023-06-16,18723.300781,18864.699219,18710.500000,18826.000000,18826.000000,272800
2023-06-19,18873.300781,18881.449219,18719.150391,18755.449219,18755.449219,219800
2023-06-20,18752.349609,18839.699219,18660.650391,18816.699219,18816.699219,211600
2023-06-21,18849.400391,18875.900391,18794.849609,18856.849609,18856.849609,217500
2023-06-22,18853.599609,18886.599609,18759.500000,18771.250000,18771.250000,252700
2023-06-23,18741.849609,18756.400391,18647.099609,18665.500000,18665.500000,210600
2023-06-26,18682.349609,18722.050781,18646.699219,18691.199219,18691.199219,171300
2023-06-27,18748.550781,18829.250000,18714.250000,18817.400391,18817.400391,222500
2023-06-28,18908.150391,19011.250000,18861.349609,18972.099609,18972.099609,398800
